search URL:,https://patents.google.com/?q=fitness&q=wearables&country=US&after=priority:20110101&language=ENGLISH&type=PATENT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20160256732A1,Foot harness for resistance exercise ,"Matthew Allan Kasner, Joshua Eric Dubin","Matthew Allan Kasner, Joshua Eric Dubin",2015-03-07,2016-01-12,2016-09-08,,https://patents.google.com/patent/US20160256732A1/en
US20140085077A1,Sedentary activity management method and apparatus using data from a data-capable band for managing health and wellness ,Aliphcom,"Michael Edward Smith Luna, Everett Utter II Max",2012-09-26,2012-09-26,2014-03-27,,https://patents.google.com/patent/US20140085077A1/en
US20150250396A1,Continuous heart rate monitoring and interpretation ,"Whoop, Inc.","William Ahmed, John Capodilupo, Aurelian Nicolae",2014-03-05,2014-03-05,2015-09-10,,https://patents.google.com/patent/US20150250396A1/en
US20170103677A1,Nutrition intake tracker ,Mastercard International Incorporated,"Manash Bhattacharjee, Debashis Ghosh, Randy Shuken, Loralee J. Bodo, Jason Alex Feldman",2015-10-12,2015-10-12,2017-04-13,,https://patents.google.com/patent/US20170103677A1/en
US20120326873A1,Activity attainment method and apparatus for a wellness application using data from a data-capable band ,Aliphcom,Everett Utter II Max,2011-06-10,2012-03-28,2012-12-27,,https://patents.google.com/patent/US20120326873A1/en
US20150049487A1,Privawear(TM): Wearable Technology for Disrupting Unwelcome Photography ,Robert A. Connor,Robert A. Connor,2013-08-15,2013-08-15,2015-02-19,,https://patents.google.com/patent/US20150049487A1/en
US20150182843A1,"Methods and systems for data collection, analysis, formulation and reporting of user-specific feedback ",Sensoria Inc.,"Mario Esposito, Maurizio MACAGNO, Davide Giancarlo VIGANO', Mauro M. RIZZI",2014-01-02,2014-12-31,2015-07-02,,https://patents.google.com/patent/US20150182843A1/en
US20160112684A1,Spectroscopic Finger Ring for Compositional Analysis of Food or Other Environmental Objects ,Medibotics Llc,Robert A. Connor,2013-05-23,2015-11-21,2016-04-21,,https://patents.google.com/patent/US20160112684A1/en
US20120313776A1,General health and wellness management method and apparatus for a wellness application using data from a data-capable band ,Utter Ii Max Everett,Everett Utter II Max,2011-06-10,2012-04-23,2012-12-13,,https://patents.google.com/patent/US20120313776A1/en
US20160029890A1,"Computer-implemented systems and methods of automated physiological monitoring, prognosis, and triage ","Kurt Stump, Chilezie Nnadi, Alexander Martini","Kurt Stump, Chilezie Nnadi, Alexander Martini",2014-07-29,2015-07-29,2016-02-04,,https://patents.google.com/patent/US20160029890A1/en
US20160023043A1,Method and System for Identification of Concurrently Moving Bodies and Objects ,Richard Grundy,Richard Grundy,2014-07-16,2014-07-16,2016-01-28,,https://patents.google.com/patent/US20160023043A1/en
US20160028605A1,"Systems and methods involving mobile linear asset efficiency, exploration, monitoring and/or display aspects ",Reylabs Inc.,"Reynaldo Gil, Gabriel Paunescu",2014-05-30,2015-06-01,2016-01-28,,https://patents.google.com/patent/US20160028605A1/en
US20170039358A1,Transaction prevention using fitness data ,"Fitbit, Inc.","Shelten Gee Jao Yuen, James Park, Atiyeh Ghoreyshi",2015-08-07,2016-08-08,2017-02-09,,https://patents.google.com/patent/US20170039358A1/en
US20160217565A1,Health and Fitness Monitoring via Long-Term Temporal Analysis of Biometric Data ,"Sensory, Incorporated","Todd F. Mozer, Bryan Pellom",2015-01-28,2015-01-28,2016-07-28,,https://patents.google.com/patent/US20160217565A1/en
US20140288680A1,Monitoring Fitness Using a Mobile Device ,"Nike, Inc","Michael T. Hoffman, Kwamina Crankson, Jason Nims, Michael Levi ORENSTEIN, Kristen Laina WHITE",2013-03-15,2014-03-12,2014-09-25,,https://patents.google.com/patent/US20140288680A1/en
US20120316456A1,Sensory user interface ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120316456A1/en
US20130141235A1,General health and wellness management method and apparatus for a wellness application using data associated with data-capable band ,Aliphcom,Everett Utter II Max,2011-06-10,2012-11-09,2013-06-06,,https://patents.google.com/patent/US20130141235A1/en
US20130274587A1,Wearable Athletic Activity Monitoring Systems ,Adidas Ag,"Aurel COZA, Christian Dibenedetto, Ian Michael Munson",2012-04-13,2013-03-12,2013-10-17,,https://patents.google.com/patent/US20130274587A1/en
US20160026729A1,"Systems and methods involving mobile indoor energy efficiency exploration, monitoring and/or display aspects ",Reylabs Inc,"Reynaldo Gil, Gabriel Paunescu",2014-05-30,2015-06-01,2016-01-28,,https://patents.google.com/patent/US20160026729A1/en
US20130274904A1,Wearable Athletic Activity Monitoring Methods And Systems ,Adidas Ag,"Aurel COZA, Christian Dibenedetto",2012-04-13,2012-04-13,2013-10-17,,https://patents.google.com/patent/US20130274904A1/en
US20170132395A1,Connected Digital Health and Wellbeing Platform and System ,Tom Futch,Tom Futch,2015-08-25,2016-08-25,2017-05-11,,https://patents.google.com/patent/US20170132395A1/en
US20170189815A1,Wearable activity tracking systems and technology ,"Acshun, Inc.","Paul Tweedale, Terrence Michael McMahon, Joseph John Ackermann",2016-01-05,2017-01-05,2017-07-06,,https://patents.google.com/patent/US20170189815A1/en
US20160255944A1,Dynamic Fit Adjustment for Wearable Electronic Devices ,Apple Inc.,"Andrzej T. Baranski, Serhan O. Isikman, Tyler S. Bushnell, Steven J. MARTISAUSKAS, David I. Nazzaro",2015-03-08,2015-04-20,2016-09-08,,https://patents.google.com/patent/US20160255944A1/en
US20130187789A1,Wearable device assembly having antenna ,"Nike, Inc.",Steve Lowe,2012-01-19,2013-01-18,2013-07-25,,https://patents.google.com/patent/US20130187789A1/en
US20130004923A1,Nutrition management method and apparatus for a wellness application using data from a data-capable band ,Aliphcom,Everett Utter II Max,2011-06-10,2012-03-28,2013-01-03,,https://patents.google.com/patent/US20130004923A1/en
US20170262654A1,Secure group data exchange ,"Rita H. Wouhaybi, Lama Nachman, Dawn Nafus, Pete A. Denman, Lenitra M. Durham, Sangita Sharma","Rita H. Wouhaybi, Lama Nachman, Dawn Nafus, Pete A. Denman, Lenitra M. Durham, Sangita Sharma",2016-03-14,2016-03-14,2017-09-14,,https://patents.google.com/patent/US20170262654A1/en
US20160294225A1,Wireless power systems and methods suitable for charging wearable electronic devices ,"PogoTec, Inc.","Ronald D. Blum, Amitava Gupta, William Kokonaski, Stefan Bauer, Jean-Noel Fehr",2014-12-15,2016-06-15,2016-10-06,,https://patents.google.com/patent/US20160294225A1/en
US20130002435A1,Sleep management method and apparatus for a wellness application using data from a data-capable band ,Aliphcom,Everett Utter II Max,2011-06-10,2012-03-28,2013-01-03,,https://patents.google.com/patent/US20130002435A1/en
US20170215745A1,Sensing Circuit with Cascaded Reference ,BioPause LLC,"Jason Felix, Leslie Ann Chertok, Laureli Shimayo, Vandana Verma",2015-12-31,2016-12-30,2017-08-03,,https://patents.google.com/patent/US20170215745A1/en
US20120316471A1,Power management in a data-capable strapband ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson",2011-06-10,2012-02-25,2012-12-13,,https://patents.google.com/patent/US20120316471A1/en
US20160241653A1,Intelligent blending system ,Vita-Mix Management Corporation,Anthony Ciepiel,2015-02-16,2015-02-16,2016-08-18,,https://patents.google.com/patent/US20160241653A1/en
US20150035643A1,Biometrics identification module and personal wearable electronics network based authentication and transaction processing ,"Jpmorgan Chase Bank, N.A.",Eren Kursun,2013-08-02,2013-11-12,2015-02-05,,https://patents.google.com/patent/US20150035643A1/en
US20130298301A1,Fitness and Training Garment ,"Lawrence Theodore Petrakis, Anagnostis E. Zachariades","Lawrence Theodore Petrakis, Anagnostis E. Zachariades",2011-08-31,2012-08-30,2013-11-14,,https://patents.google.com/patent/US20130298301A1/en
US20160058133A1,Analog watch with digital wearable system ,Joseph Fournier,Joseph Fournier,2014-08-28,2014-08-28,2016-03-03,,https://patents.google.com/patent/US20160058133A1/en
US20120316661A1,"Media device, application, and content management using sensory input ",Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robinson, Everett Utter II Max, Thomas Alan Donaldson, Raymond A. Martino",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120316661A1/en
US20160284349A1,Method and system of environment sensitive automatic speech recognition ,"Binuraj Ravindran, Georg Stemmer, Joachim Hofer","Binuraj Ravindran, Georg Stemmer, Joachim Hofer",2015-03-26,2015-03-26,2016-09-29,,https://patents.google.com/patent/US20160284349A1/en
US20140156084A1,Data-capable band management in an integrated application and network communication data environment ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Louis Moore, Galen Myers, Raymond A. Martino",2011-06-10,2013-11-08,2014-06-05,,https://patents.google.com/patent/US20140156084A1/en
US20160150350A1,Method and apparatus for pairing a wearable device and a smart device ,"Samsung Electronics Co., Ltd.","Mangesh Abhimanyu Ingale, Vijaya Kumar TUKKA, Jaehyuk JANG, Diwakar Sharma",2014-11-26,2015-11-24,2016-05-26,,https://patents.google.com/patent/US20160150350A1/en
US20120313746A1,Device control using sensory input ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Raymond A. Martino",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120313746A1/en
US20140375465A1,Band with conformable electronics ,"Mc10, Inc.","Jacob Fenuccio, Bryan Keen, Sanjay Gupta, Milan Raj, Nicholas Kalita",2013-06-21,2014-06-23,2014-12-25,,https://patents.google.com/patent/US20140375465A1/en
US20120317167A1,Wellness application for data-capable band ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robinson, Everett Utter II Max, Thomas Alan Donaldson, Raymod A. Martino",2011-06-10,2012-01-30,2012-12-13,,https://patents.google.com/patent/US20120317167A1/en
US20170258329A1,Portable physiology monitor ,Inova Design Solutions Ltd,Leon Marsh,2014-11-25,2015-11-25,2017-09-14,,https://patents.google.com/patent/US20170258329A1/en
US20130336519A1,Willpower Watch (TM) -- A Wearable Food Consumption Monitor ,Robert A. Connor,Robert A. Connor,2012-06-14,2012-06-14,2013-12-19,,https://patents.google.com/patent/US20130336519A1/en
US20150186609A1,"Data capable strapband for sleep monitoring, coaching, and avoidance ",Aliphcom,Max Everett Utter II,2013-03-14,2014-02-28,2015-07-02,,https://patents.google.com/patent/US20150186609A1/en
US20150137994A1,Data-capable band management in an autonomous advisory application and network communication data environment ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Louis Moore, Galen Myers, Raymond A. Martino",2013-10-27,2014-10-28,2015-05-21,,https://patents.google.com/patent/US20150137994A1/en
US20150182130A1,True resting heart rate ,Aliphcom,Everett Utter II Max,2013-12-31,2013-12-31,2015-07-02,,https://patents.google.com/patent/US20150182130A1/en
US20160375307A1,Wearable device normalization of fitness equipment settings and characteristics ,"Lenitra M. Durham, Giuseppe Raffa, Glen J. Anderson, Deepak S. Vembar, Jamie Sherman","Lenitra M. Durham, Giuseppe Raffa, Glen J. Anderson, Deepak S. Vembar, Jamie Sherman",2015-06-26,2015-06-26,2016-12-29,,https://patents.google.com/patent/US20160375307A1/en
US20160174857A1,"Wearable Apparatus, System and Method for Detection of Cardiac Arrest and Alerting Emergency Response ","Eggers & Associates, Inc.","Philip E. Eggers, Eric A. Eggers, Benjamin Z. Bailey",2014-12-22,2015-12-16,2016-06-23,,https://patents.google.com/patent/US20160174857A1/en
US20150294595A1,Method for providing wellness-related communications to a user ,"Lark Technologies, Inc.","Julia Hu, Jeff Zira, Stephen D. Fleischer",2012-10-08,2015-06-23,2015-10-15,,https://patents.google.com/patent/US20150294595A1/en
US20170281027A1,"Optical Arrangement For Power-Efficient, Low Noise Photoplethysmographic Sensor Module ",Silicon Laboratories Inc.,"Moshe M. Altmejd, Bruce P. Del Signore, Yahui Zhang",2016-04-05,2016-04-05,2017-10-05,,https://patents.google.com/patent/US20170281027A1/en
US20130173171A1,Data-capable strapband ,Aliphcom,"Richard Lee Drysdale, Scott Fullam, Skip Thomas Orvis, Nora Elam Levinson",2011-06-10,2012-06-07,2013-07-04,,https://patents.google.com/patent/US20130173171A1/en
US20150005911A1,Portable computing device and analyses of personal data captured therefrom ,"Atlas Wearables, Inc.","Lee Lake II Thomas, Michael Kasparian, Peter Li",2013-05-30,2014-07-30,2015-01-01,,https://patents.google.com/patent/US20150005911A1/en
US20160104008A1,Systems and Methods for Context-Based Permissioning of Personally Identifiable Information ,"Stuart H. Lacey, Naresh Singhal, Douglas Cheline","Stuart H. Lacey, Naresh Singhal, Douglas Cheline",2014-10-02,2015-10-02,2016-04-14,,https://patents.google.com/patent/US20160104008A1/en
US9730006B1,Enhanced system acquisition for wearables ,Qualcomm Incorporated,"Parthasarathy Krishnamoorthy, Suresh Kumar Bitra, Soumen Mitra, Bhaskara Viswanadham Batchu, Nikhil Jain",2016-04-15,2016-04-15,2017-08-08,2017-08-08,https://patents.google.com/patent/US9730006B1/en
US20150286800A1,Cloud-based server for facilitating health and fitness programs for a plurality of users ,Santana Row Venture LLC,"Sameer Kanagala, Suzanne Lai, Balazs Nagy",2014-04-02,2014-10-24,2015-10-08,,https://patents.google.com/patent/US20150286800A1/en
US20140266731A1,Wearable Device Assembly Having Athletic Functionality ,"Nike, Inc.",Vikram Malhotra,2013-03-15,2014-03-12,2014-09-18,,https://patents.google.com/patent/US20140266731A1/en
US20160034923A1,Systems and methods for multi-channel data aggregation ,Tata Consultancy Services Limited,"Arunashish MAJUMDAR, Thirunavukarasu Sivasubramanian, Anirban Ukil, Indranath Bhattacharya, Meeralal Vasudevan, Aditya N. Chati, Sri Hari Bangalore",2014-08-04,2015-08-04,2016-02-04,,https://patents.google.com/patent/US20160034923A1/en
US20120316896A1,Personal advisor system using data-capable band ,Aliphcom,"Hosain Sadequr Rahman, Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Travis Austin Bogard, Jeremiah Robison, Everett Utter II Max, Thomas Alan Donaldson, Raymond A. Martino",2011-06-10,2011-07-12,2012-12-13,,https://patents.google.com/patent/US20120316896A1/en
US20160197511A1,Wireless energy transfer for wearables ,Witricity Corporation,"Oguz Atasoy, Peter Lorenz",2015-01-05,2015-12-30,2016-07-07,,https://patents.google.com/patent/US20160197511A1/en
US9392946B1,Heart rate sensor with high-aspect-ratio photodetector element ,"Fitbit, Inc.","Chris H. Sarantos, Peter W. Richards",2015-05-28,2015-05-28,2016-07-19,2016-07-19,https://patents.google.com/patent/US9392946B1/en
US20160085331A1,Method and Apparatus for Physical Activity Tracking ,"Omron Healthcare, Inc.","Nobuo Kubo, Rodney Hal Monson, Garrett Lee Winther, Ross Lockwood, Travis Schultz Lee, Shu Kuen Chang, Florian Maximilian Friedrich Gerlach",2014-09-18,2015-09-17,2016-03-24,,https://patents.google.com/patent/US20160085331A1/en
US20130176142A1,Data-capable strapband ,"Aliphcom, Inc.","Richard Lee Drysdale, Michael Edward Smith Luna, Scott Fullam, Skip Thomas Orvis, Raymond A. Martino, Nora Elam Levinson",2011-06-10,2012-06-09,2013-07-11,,https://patents.google.com/patent/US20130176142A1/en
US20170207926A1,Mobile sensor data collection ,Reylabs Inc.,"Reynaldo Gil, Gabriel Paunescu",2014-05-30,2015-06-01,2017-07-20,,https://patents.google.com/patent/US20170207926A1/en
US20160172890A1,Wearable devices for wireless power transfer and communication ,Qualcomm Incorporated,Seong Heon JEONG,2014-12-12,2015-08-06,2016-06-16,,https://patents.google.com/patent/US20160172890A1/en
US20170309196A1,User energy-level anomaly detection ,"Microsoft Technology Licensing, Llc","Vipindeep Vangala, Kurumaddali Venkata Madhu Sravanth",2016-04-21,2016-06-14,2017-10-26,,https://patents.google.com/patent/US20170309196A1/en
US20160173359A1,Coordinating relationship wearables ,Ebay Inc.,"Jennifer T. Brenner, Bryant Genepang Luk, Robert He, Christopher Diebold O'Toole, Yu Tang, Jason Ziaja, Ananya Das",2014-12-12,2014-12-12,2016-06-16,,https://patents.google.com/patent/US20160173359A1/en
US20150313496A1,Mobile Wearable Electromagnetic Brain Activity Monitor ,Medibotics Llc,Robert A. Connor,2012-06-14,2015-01-18,2015-11-05,,https://patents.google.com/patent/US20150313496A1/en
US20150120186A1,Distance calibration by event points ,Garmin Switzerland Gmbh,"Joe S. Heikes, Kristin M. Massoth, Brian D. Becker, David J. Downey",2013-10-31,2014-03-20,2015-04-30,,https://patents.google.com/patent/US20150120186A1/en
US20170178004A1,Automatic response system for wearables ,Intel Corporation,"Sunil TIPTUR NATARAJ, Fai Yeung",2015-12-21,2015-12-21,2017-06-22,,https://patents.google.com/patent/US20170178004A1/en
US20160270717A1,Monitoring and feedback of physiological and physical characteristics using wearable devices ,Aliphcom,"Michael Edward Smith Luna, Max Everett Utter II",2011-06-10,2012-11-11,2016-09-22,,https://patents.google.com/patent/US20160270717A1/en
US20150263886A1,Method and system for a personal network ,"Ray Wang, Borwyn Anne WANG, Andrew Wang","Ray Wang, Borwyn Anne WANG, Andrew Wang",2014-03-14,2015-03-04,2015-09-17,,https://patents.google.com/patent/US20150263886A1/en
US20160037055A1,Capturing images of active subjects ,Google Technology Holdings LLC,Alex Vaz Waddington,2014-07-31,2014-07-31,2016-02-04,,https://patents.google.com/patent/US20160037055A1/en
US20160374567A1,Heart rate variability with sleep detection ,"Whoop, Inc.","Emily Rachel Breslow, John Capodilupo, William Ahmed",2015-06-25,2015-06-25,2016-12-29,,https://patents.google.com/patent/US20160374567A1/en
US20150257647A1,Method and device for patient monitoring using dynamic multi-function device ,"Cardiac Technologies International, Inc.","Ryan Buck, Frederick M. Hijazi",2014-03-17,2015-03-17,2015-09-17,,https://patents.google.com/patent/US20150257647A1/en
US20150135310A1,Persistent authentication using sensors of a user-wearable device ,"Salutron, Inc.",Yong Jin Lee,2013-10-04,2014-10-02,2015-05-14,,https://patents.google.com/patent/US20150135310A1/en
US20150126834A1,Wearable electrochemical sensors ,The Regents Of The University Of California,"Joseph Wang, Joshua Ray Windmiller, Amay Jairaj Bandodkar",2012-05-10,2013-05-10,2015-05-07,,https://patents.google.com/patent/US20150126834A1/en
US9814923B2,Wearable device for guiding a line of a fitness apparatus ,Intelect B.V.,Robbert Jacobus Johannes Boekema,2013-03-05,2014-03-04,2017-11-14,2017-11-14,https://patents.google.com/patent/US9814923B2/en
US20160030798A1,Wearable device for guiding a line of a fitness apparatus ,Intelect B.V.,Robbert Jacobus Johannes Boekema,2013-03-05,2014-03-04,2016-02-04,,https://patents.google.com/patent/US20160030798A1/en
